;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4;Delta_1;Theta_1;Alpha_1;Beta_1
S2;Resting open;0.029516252;0.041226342;0.024839536;0.025950565;0.029432996;0.041226989;0.024815855;0.026109225;0.030439528;0.040675233;0.025774323;0.029320604;0.028833492;0.040167957;0.025834157;0.022437631;0.029661015;0.039150967;0.026698019;0.023102905;0.027201046;0.0394605;0.023397041;0.022994845;0.031929841;0.036878981;0.025164325;0.020364242;5.93163;12.0221;-5.2581;-3.40568
S3;Resting open;0.046421305;0.037414356;0.022463455;0.034883485;0.040935028;0.034080698;0.01827957;0.033269956;0.04653962;0.031829433;0.020127535;0.030484953;0.041911675;0.030215615;0.017794736;0.026435905;0.049101785;0.032519484;0.024080836;0.030678142;0.039093244;0.028056512;0.018223023;0.029823351;0.036908187;0.029488844;0.016633091;0.023704752;13.8336;6.21949;-6.54469;-0.538724
S5;Resting open;0.006977355;0.014455946;0.067620315;0.035715514;0.006820528;0.014851826;0.100952123;0.042564745;0.007058404;0.014642205;0.116170571;0.045320291;0.006790881;0.014769911;0.058043884;0.035110262;0.006440582;0.014570708;0.066095147;0.038537556;0.006458734;0.013487646;0.067289011;0.032478696;0.006360567;0.013546166;0.044002608;0.029300075;-7.66271;-6.84565;6.29634;2.85587
S14;Resting open;0.031339497;0.021975768;0.042996996;0.021273752;0.030516551;0.022074695;0.052752976;0.025547069;0.032174647;0.025545568;0.069743777;0.049884444;0.030808583;0.021866;0.041862494;0.020636507;0.034099157;0.023029278;0.047484168;0.023067413;0.030583057;0.020941524;0.048074525;0.020224436;0.027773343;0.017583977;0.042608211;0.018616664;6.75538;-1.33519;0.297808;-3.05177
S15;Resting open;0.006617189;0.020740505;0.087854463;0.020751764;0.007510824;0.023264367;0.108432746;0.025155391;0.007267312;0.023770835;0.099585345;0.025933869;0.006847157;0.020372934;0.071763211;0.018247187;0.007585513;0.020171175;0.065854156;0.017744812;0.007032421;0.020261948;0.080072388;0.019345752;0.007606506;0.017614145;0.0573105;0.015706187;-7.36272;-2.03822;8.28211;-5.39135
S16;Resting open;0.036105659;0.040717637;0.023318345;0.029163396;0.035347429;0.043563541;0.025703973;0.034309125;0.0414591;0.045942671;0.025770036;0.029844972;0.034322104;0.03844372;0.022479299;0.02602393;0.031987122;0.037094347;0.022075771;0.029391696;0.032129451;0.036249529;0.022115027;0.021620816;0.029412686;0.033081063;0.020607341;0.020466555;8.76999;11.5836;-5.73222;-1.96225
S18;Resting open;0.02801387;0.039960461;0.024140591;0.029599731;0.027094558;0.040961194;0.023983359;0.030963873;0.028222997;0.043154082;0.027003983;0.031842669;0.028687619;0.037597913;0.023729757;0.028588372;0.026483485;0.039960697;0.027748096;0.030299228;0.0207769;0.035334621;0.03044365;0.030492408;0.021524339;0.034163222;0.03242016;0.02958305;3.69433;11.1896;-4.94233;-0.400949
S19;Resting open;0.024406752;0.03274873;0.033580054;0.023925256;0.025270398;0.034631109;0.037678568;0.025485441;0.024771219;0.039536291;0.045238444;0.03768143;0.024439921;0.033883369;0.032063902;0.022667973;0.020637383;0.041922712;0.03957643;0.029002893;0.025412273;0.035679465;0.044395336;0.02883673;0.027695793;0.033926654;0.031911257;0.021340495;3.02936;9.17395;-2.4027;-2.17071
S22;Resting open;0.032799374;0.02294762;0.017165155;0.052180723;0.033127369;0.022286442;0.017073571;0.053473102;0.030504332;0.021785156;0.017064858;0.052172965;0.030808812;0.022135116;0.017861011;0.051149079;0.030928856;0.022881309;0.016649755;0.047946824;0.028783501;0.022312785;0.013997614;0.050279001;0.027307111;0.021658992;0.01546988;0.050551693;6.52864;-0.955901;-7.29644;10.1526
S24;Resting open;0.033494635;0.029619923;0.037587258;0.017238157;0.032714208;0.030658999;0.037255054;0.018637408;0.034022714;0.031781965;0.046944522;0.024138498;0.032073705;0.030218616;0.043042444;0.018064086;0.031966745;0.032562143;0.047533259;0.021483154;0.031430303;0.031117417;0.040381281;0.019808679;0.033377926;0.031364632;0.050441137;0.022602852;7.79682;5.53176;-1.12431;-5.41755
S2;Resting;0.010806638;0.02583712;0.068988509;0.021714245;0.010771524;0.025900471;0.069505179;0.021915892;0.009924424;0.02763586;0.079541312;0.027813538;0.010096237;0.024230606;0.072817702;0.01687808;0.009971478;0.023798524;0.083872756;0.016477497;0.010342169;0.024079758;0.073887345;0.019327818;0.011827947;0.022316702;0.076956478;0.015385235;-5.37712;0.895134;6.39651;-5.63666
S3;Resting;0.015262071;0.016681236;0.034593067;0.050883401;0.018358923;0.019587171;0.036547835;0.058894049;0.018410833;0.017365481;0.041214861;0.062006981;0.015415796;0.018623277;0.036382134;0.053581231;0.018375503;0.020973533;0.050887213;0.065487448;0.017590264;0.019693105;0.038641854;0.051355996;0.012935776;0.017323512;0.038573694;0.052872936;-1.80864;-3.70248;-1.98218;12.6435
S5;Resting;0.007526;0.010376674;0.065798095;0.045331007;0.006639572;0.011796371;0.078313407;0.05765797;0.008426817;0.011467909;0.082190801;0.06332936;0.007789546;0.009209836;0.061603544;0.039508737;0.007705987;0.009083688;0.063395546;0.042042404;0.006874643;0.010138759;0.060543915;0.040706309;0.007488846;0.00995662;0.059001727;0.033627159;-7.19468;-9.85357;4.69117;7.30435
S14;Resting;0.014397188;0.016674321;0.068808211;0.016973634;0.01613691;0.016230966;0.076058145;0.0191452;0.017307829;0.019756632;0.093542342;0.036320974;0.014588955;0.017936798;0.072158824;0.016456529;0.014351976;0.02062506;0.079924461;0.017698967;0.013393075;0.015815868;0.07884264;0.019869762;0.013620614;0.016339868;0.085581483;0.017603747;-2.8396;-4.42313;7.24577;-5.42611
S15;Resting;0.004492372;0.010219933;0.095711089;0.015886045;0.00505393;0.011667085;0.118819854;0.01787766;0.004952979;0.011686202;0.119202792;0.016896916;0.004275102;0.010826508;0.090435342;0.015168592;0.004646623;0.012558586;0.097947492;0.015851167;0.004382019;0.010203681;0.095385284;0.013531659;0.003563339;0.009744745;0.077391355;0.012871544;-8.98632;-9.3415;12.2965;-7.85522
S16;Resting;0.018132716;0.022059064;0.07140498;0.022981415;0.018648165;0.021418712;0.071081366;0.025044447;0.017801854;0.022172886;0.061741799;0.022935389;0.016260783;0.020742377;0.070247886;0.021596033;0.015280317;0.020568273;0.067373182;0.022188975;0.013520736;0.016254191;0.075978183;0.01792901;0.012837233;0.016985389;0.08934799;0.019101747;-2.09658;-2.62625;5.82275;-4.7123
S18;Resting;0.018743627;0.03327062;0.035703177;0.032399878;0.015141944;0.03644078;0.038279791;0.036290258;0.01556389;0.041803872;0.048786004;0.040905677;0.022475719;0.036690279;0.03442728;0.034410716;0.017864798;0.033434789;0.040657127;0.037900037;0.0150235;0.03527331;0.040231548;0.032774819;0.017206082;0.031524219;0.036792684;0.033412146;-1.28181;8.76221;-2.04643;2.13822
S19;Resting;0.012560379;0.028016371;0.064792631;0.015759287;0.01405708;0.030999572;0.067428135;0.017304209;0.015462651;0.03362063;0.065747965;0.022877147;0.01164485;0.02687243;0.062844657;0.015098253;0.017990217;0.035225066;0.081904594;0.020289809;0.013075147;0.03435789;0.085457781;0.020660612;0.010291151;0.02755393;0.069090649;0.014982833;-3.61953;5.33881;5.39753;-6.53726
S22;Resting;0.014496297;0.016619548;0.039696008;0.054360523;0.014014685;0.016670157;0.041357188;0.054610569;0.013868098;0.016093969;0.039776818;0.053541748;0.01228927;0.016928062;0.043592666;0.053933418;0.012174709;0.018869477;0.040718752;0.053387679;0.013646959;0.015229665;0.03932469;0.052875776;0.012444041;0.015863728;0.046722608;0.054232568;-3.75757;-5.15104;-1.40435;11.5392
S24;Resting;0.008399111;0.007447936;0.084911482;0.006367291;0.008404777;0.007926498;0.078180917;0.006918917;0.008883473;0.008693306;0.111783888;0.008874833;0.00772029;0.007958444;0.122312652;0.00704859;0.007094702;0.008819438;0.142116514;0.008631026;0.008007909;0.007367922;0.077641373;0.00692914;0.007050458;0.007702342;0.173091256;0.008332355;-6.92971;-11.5531;14.7992;-11.7885
S2;Read left;0.033547681;0.038823872;0.024760202;0.029048607;0.033618795;0.038770967;0.024925768;0.029225585;0.03324773;0.038332765;0.026621639;0.032042559;0.032683032;0.037761911;0.023735797;0.028315779;0.032484108;0.036972993;0.025335072;0.029242338;0.029557871;0.034988883;0.022408087;0.025169441;0.030910888;0.03277316;0.019603501;0.022401384;7.536;9.86694;-5.5356;-1.63189
S3;Read left;0.050241246;0.027733746;0.016829801;0.029160275;0.052032665;0.028355082;0.019663938;0.033568743;0.052466198;0.029501733;0.019799479;0.036764381;0.049302795;0.026435919;0.016522637;0.02877416;0.049992446;0.026556846;0.019047071;0.031239273;0.045990701;0.026265772;0.014685932;0.028614061;0.043969499;0.023854988;0.014137561;0.026995779;17.5177;2.46672;-7.13726;-0.228081
S5;Read left;0.020260167;0.023232453;0.047468138;0.031701687;0.021904814;0.026083344;0.055157405;0.039404554;0.02369815;0.024964562;0.059712308;0.040022643;0.024792102;0.029855881;0.045490883;0.031480839;0.019933741;0.024187003;0.044508385;0.030933053;0.019322332;0.01974103;0.049376147;0.028967037;0.017671432;0.020959336;0.039901677;0.025484868;0.868843;0.468561;0.322301;0.656803
S14;Read left;0.03115314;0.021398537;0.03577124;0.035240087;0.031068198;0.021363062;0.050738518;0.054505925;0.034597503;0.023545073;0.047771198;0.061529804;0.031502015;0.023237995;0.038749134;0.043372141;0.032747594;0.024080555;0.040181583;0.048937705;0.028190617;0.018295378;0.024700652;0.023582363;0.027114841;0.018305247;0.020996563;0.020714505;6.68785;-1.57543;-2.33615;4.53683
S15;Read left;0.03231554;0.027892679;0.042597642;0.021786967;0.03561607;0.029646325;0.04783169;0.02365437;0.036579272;0.02975235;0.045241252;0.023156647;0.030477265;0.027436536;0.040731003;0.021757327;0.027708581;0.027436184;0.041419005;0.022619909;0.023798583;0.023754823;0.040617895;0.018850399;0.022308207;0.023267443;0.038852785;0.01916935;6.07202;2.54268;-1.14935;-4.77873
S16;Read left;0.046213655;0.039199464;0.016665528;0.01956352;0.049042445;0.040151938;0.016658287;0.020543109;0.048011754;0.039802486;0.016621213;0.020560542;0.04873545;0.04069613;0.016614888;0.019762589;0.049325842;0.041214041;0.017751838;0.020902139;0.037355105;0.032450577;0.014950295;0.016691297;0.044153127;0.037720006;0.015745723;0.017668961;15.7499;11.3111;-7.32889;-5.87187
S18;Read left;0.01985731;0.027170392;0.033255843;0.038321782;0.020579943;0.029977433;0.038326163;0.047536323;0.021806077;0.035148897;0.048109612;0.064223707;0.019441075;0.027235473;0.032261025;0.04004687;0.01872163;0.028008347;0.036138441;0.041026723;0.017842454;0.025553766;0.035632197;0.037988251;0.015445164;0.023206015;0.029708157;0.032015416;-0.313253;3.23652;-2.72306;5.70265
S19;Read left;0.017941331;0.034165995;0.041034714;0.02620962;0.020328117;0.038246496;0.047909033;0.029186373;0.021859644;0.040207085;0.054264085;0.040700988;0.016830297;0.032996457;0.038137563;0.024508244;0.017710059;0.037599694;0.045381141;0.026690397;0.019487889;0.039611913;0.050802726;0.028365887;0.014860837;0.029885265;0.035457287;0.02198267;-0.721767;9.12966;-0.733608;-1.55578
S22;Read left;0.029384023;0.020933548;0.01540377;0.056180382;0.029557964;0.020440874;0.015289055;0.056504721;0.031096529;0.020291543;0.014427094;0.056926029;0.02789534;0.020460742;0.01605237;0.055935827;0.026468112;0.020443045;0.014995098;0.054910828;0.025456869;0.01902076;0.015891779;0.055598689;0.022737188;0.01959346;0.017745224;0.055044404;4.68582;-2.51231;-7.52597;12.5354
S24;Read left;0.028650785;0.02675397;0.029314319;0.024770208;0.029638675;0.028683267;0.0356953;0.044879065;0.031579133;0.032166474;0.045449236;0.053023565;0.028519967;0.027834828;0.036123767;0.031744045;0.029162712;0.030185641;0.039777063;0.039207535;0.024428585;0.023066498;0.030380133;0.01935441;0.023550752;0.024774485;0.044083961;0.019098732;4.92742;2.99873;-2.58001;0.605798
2S2;Resting open;0.019651014;0.041859721;0.039408156;0.034210142;0.014112183;0.037700109;0.042616974;0.037270617;0.018623891;0.040898527;0.047317375;0.046495985;0.012496424;0.030930854;0.03996728;0.028474793;0.022236679;0.035562269;0.037659276;0.026451621;0.013474724;0.034394761;0.0425418;0.033484949;0.014131346;0.030498944;0.042107051;0.027545866;-1.94144;9.09695;-1.42481;1.10448
2S3;Resting open;0.016261565;0.03968091;0.025426589;0.022924665;0.015643973;0.040798405;0.028584242;0.021728668;0.014027833;0.045198106;0.034912186;0.02212278;0.015114246;0.033928588;0.023813663;0.019670804;0.008970794;0.024964876;0.019252819;0.015168513;0.021728453;0.058645386;0.048921461;0.030996405;0.015078254;0.037229167;0.039597608;0.025505959;-2.57289;11.9553;-4.02259;-4.09211
2S5;Resting open;0.014422568;0.017188746;0.032576136;0.023591448;0.016359863;0.018792821;0.043997767;0.026000345;0.019390082;0.019931725;0.072438104;0.033732714;0.014800084;0.016776299;0.054319675;0.027404351;0.014551804;0.014682114;0.089808252;0.028752084;0.023576878;0.022598818;0.026884476;0.023924841;0.018617914;0.018065024;0.034948576;0.022117843;-1.33816;-3.97323;0.581073;-2.40995
2S6;Resting open;0.010218472;0.022478012;0.031296361;0.038283584;0.010508049;0.021569327;0.036703965;0.04027116;0.010884776;0.021205784;0.046491504;0.046600149;0.024276406;0.034979142;0.03802692;0.05922471;0.010653172;0.017708262;0.045925425;0.043052939;0.010780806;0.022538972;0.042314672;0.041596607;0.011178303;0.02188872;0.050765362;0.04208634;-4.12534;-0.193596;-1.6336;6.62462
2S7;Resting open;0.036221442;0.024156171;0.019443639;0.02868943;0.028324914;0.02640778;0.021960513;0.03396341;0.037344951;0.026029481;0.023846608;0.038617271;0.043269814;0.022830999;0.016586124;0.024295382;0.032377138;0.017876597;0.012292658;0.018918265;0.056395677;0.034154551;0.021661352;0.029171954;0.042441477;0.02761276;0.017796177;0.023154547;11.7574;1.42234;-6.72543;-1.52188
2S8;Resting open;0.015073984;0.029521155;0.033509154;0.033198812;0.017245567;0.030352778;0.036776199;0.036099118;0.017372552;0.030020705;0.037060157;0.037167365;0.012653329;0.026333345;0.029649726;0.031814724;0.011742774;0.024390469;0.02664584;0.033951464;0.021555256;0.039108272;0.04447123;0.036787612;0.017662904;0.038861291;0.033459946;0.031536158;-2.03057;5.67713;-3.12676;1.67697
2S9;Resting open;0.013544722;0.015839695;0.031215615;0.045268263;0.012397529;0.01608967;0.034236373;0.052248057;0.013030271;0.016826215;0.030783648;0.052728472;0.014215161;0.01735127;0.043415307;0.045093437;0.009193004;0.012204863;0.026097509;0.036628503;0.015334667;0.021992558;0.044128922;0.059397806;0.013749545;0.019094315;0.052544616;0.047873432;-3.87069;-4.84382;-2.46544;8.85539
2S10;Resting open;0.004764411;0.008070747;0.0819907;0.01000202;0.005161523;0.008369977;0.092145221;0.011625084;0.004991264;0.008595427;0.084510666;0.010780328;0.004701669;0.008452676;0.094577605;0.010836483;0.005021386;0.010213419;0.090092608;0.012456748;0.007360845;0.013675796;0.11108972;0.012820084;0.006390823;0.012896137;0.148895004;0.014632284;-8.38918;-10.0382;11.985;-9.57608
2S11;Resting open;0.031037664;0.021963379;0.009985337;0.023493716;0.031825908;0.02380577;0.012101425;0.029384731;0.033163255;0.025564598;0.013265228;0.033605972;0.027544667;0.020538294;0.010103149;0.021357642;0.031079578;0.021285317;0.011834217;0.02924677;0.041211451;0.034153105;0.016482014;0.031631447;0.037339241;0.028687061;0.01569029;0.02913977;8.12103;1.08599;-8.29664;-1.40225
2S12;Resting open;0.017282018;0.019439632;0.027637907;0.031915685;0.018297573;0.021175424;0.031773328;0.033919017;0.015521301;0.019301599;0.032614075;0.038189267;0.017210684;0.01958111;0.031919775;0.035808093;0.018386154;0.019803075;0.027023308;0.055268959;0.023537212;0.024059487;0.032669902;0.026991843;0.022048538;0.024077945;0.028672697;0.028576887;-0.426525;-1.84823;-4.06498;2.19583
2S13;Resting open;0.028271141;0.026132118;0.028182309;0.031646598;0.032149265;0.030446587;0.036630845;0.040288416;0.032193945;0.032934804;0.034904741;0.040716962;0.024739215;0.023226324;0.028013867;0.033281433;0.02135303;0.020270649;0.040493211;0.046411998;0.033051522;0.030436862;0.03502497;0.037448109;0.02963954;0.025346413;0.029964674;0.032403324;5.45807;2.42419;-3.44629;3.12357
2S2;Resting;0.012160301;0.029193852;0.048515521;0.030950838;0.009121581;0.026012776;0.063955755;0.030446727;0.010438808;0.027801561;0.082782913;0.035560962;0.007890178;0.022869953;0.057525171;0.029453118;0.011567272;0.022517048;0.054968991;0.025311086;0.01076513;0.0235645;0.081346752;0.030187967;0.009292728;0.021581085;0.08093841;0.030393314;-5.61246;0.861594;4.16827;-0.3396
2S3;Resting;0.007764093;0.012516312;0.062456801;0.020256504;0.007107789;0.013438782;0.080843657;0.019115293;0.00682464;0.015206905;0.106298154;0.019475413;0.006194634;0.010245765;0.05496638;0.017310072;0.004973527;0.008263834;0.05034668;0.014521704;0.009329592;0.017740179;0.125151647;0.029049942;0.008055437;0.012714694;0.079635916;0.026803619;-7.37266;-8.00101;7.07848;-4.899
2S5;Resting;0.005013728;0.00664728;0.065989865;0.015350399;0.006103417;0.007870734;0.102375906;0.016841981;0.005719019;0.010720453;0.165489643;0.020155521;0.00468612;0.006562915;0.079185618;0.017066163;0.004742755;0.006697074;0.108420634;0.018482316;0.006073744;0.008251831;0.099011452;0.017509493;0.004866356;0.006987545;0.071902977;0.016593871;-8.4894;-11.8193;11.5166;-6.86731
2S6;Resting;0.012944417;0.01984613;0.046201583;0.039576833;0.014124228;0.020682863;0.050967252;0.042085986;0.014249894;0.022869862;0.054022794;0.046667217;0.018783859;0.024086616;0.045282893;0.036044647;0.016427789;0.022747217;0.054716137;0.034074148;0.009635624;0.020949481;0.058226511;0.038826302;0.012476471;0.02312151;0.059549143;0.036804315;-3.27789;-1.10412;1.02964;4.0647
2S7;Resting;0.010930859;0.018795424;0.037929764;0.047777715;0.015667871;0.018069088;0.03392256;0.05070991;0.018247307;0.021768597;0.032176243;0.054288037;0.012672042;0.019593749;0.06244054;0.06141484;0.040397313;0.018528565;0.030561392;0.026933305;0.018731066;0.022474072;0.032628983;0.040904787;0.018158122;0.020276039;0.043674653;0.033367428;-0.348714;-2.73584;-1.78139;6.90575
2S8;Resting;0.007051815;0.016425505;0.066425672;0.018701188;0.007394144;0.015663026;0.072760472;0.019362714;0.007761282;0.017366737;0.100260956;0.021455306;0.006532415;0.017187831;0.072740192;0.018603754;0.007362603;0.018752874;0.077018154;0.018962165;0.008213506;0.021796002;0.089776754;0.019943062;0.008321746;0.027472204;0.091761955;0.018684129;-7.1786;-3.14381;7.62993;-5.84989
2S9;Resting;0.006461121;0.011724852;0.048258114;0.029166849;0.006597269;0.012888837;0.065735391;0.034380716;0.007682958;0.012605553;0.081196416;0.040319368;0.00643827;0.011193178;0.059761397;0.03304979;0.004554157;0.00905398;0.065815081;0.037620951;0.008496225;0.015560234;0.095871588;0.045089729;0.006968211;0.011773341;0.087169588;0.039119907;-7.63667;-8.53287;5.18596;2.99555
2S10;Resting;0.004902422;0.007917356;0.080046051;0.009615468;0.005731072;0.008561305;0.10293231;0.011169336;0.006007837;0.009530227;0.102223751;0.010858974;0.00367738;0.006828847;0.083579386;0.009818523;0.003600011;0.006799002;0.076763783;0.010439514;0.007574516;0.010393977;0.13424268;0.013761574;0.006489689;0.009410123;0.141589089;0.013574915;-8.41808;-11.1984;12.4142;-9.85248
2S11;Resting;0.027863328;0.023799624;0.018234168;0.02719102;0.029413424;0.026186167;0.020056509;0.029953058;0.033792586;0.02539606;0.020601857;0.02757741;0.024320271;0.020946629;0.017764449;0.02618924;0.025794634;0.022501235;0.022052779;0.039232193;0.040412907;0.031023166;0.02878211;0.032054064;0.033382612;0.02799204;0.027171958;0.042559657;6.56958;1.31377;-6.14019;0.680791
2S12;Resting;0.004418553;0.014872831;0.06030568;0.007368621;0.004786827;0.015904645;0.081373179;0.00758108;0.006187199;0.018393406;0.090401207;0.007539211;0.004052579;0.016685088;0.0702938;0.00729415;0.005307016;0.01944685;0.087790311;0.006115684;0.006530442;0.02560065;0.139697875;0.009771178;0.00632842;0.029932366;0.12357158;0.010059807;-8.45752;-2.51489;9.89303;-11.5383
2S13;Resting;0.005427338;0.017296859;0.071034367;0.015301688;0.006431154;0.01855525;0.096549833;0.017792074;0.005530665;0.014935766;0.07456258;0.015090474;0.006264123;0.018720381;0.085203576;0.018073917;0.007668744;0.019049455;0.147403277;0.025937317;0.006436579;0.017616479;0.087391227;0.017272536;0.006753651;0.018708606;0.100162077;0.020138436;-7.8732;-4.21021;10.7629;-6.27303
2S2;Read left;0.014653642;0.031420689;0.030664433;0.044890745;0.013784322;0.031507366;0.033851317;0.050890685;0.016063855;0.036852268;0.038318311;0.063076176;0.012631075;0.026544748;0.03031005;0.051128254;0.01323285;0.024856437;0.027562691;0.051570854;0.016805147;0.029574174;0.032399654;0.043469847;0.013892633;0.023138905;0.026185778;0.037471553;-3.08107;3.99329;-3.81151;8.71099
2S3;Read left;0.019541881;0.032760225;0.023353091;0.02407748;0.017615422;0.034131122;0.026565058;0.025580553;0.020615446;0.034993526;0.034093065;0.026080754;0.012373678;0.028742982;0.021525938;0.020451864;0.008895028;0.02579656;0.01922268;0.015893806;0.026036383;0.044116921;0.046221039;0.037700329;0.017475035;0.035549438;0.035016792;0.031005936;-1.24223;7.42013;-4.50558;-2.42859
2S5;Read left;0.024305561;0.018314447;0.01543074;0.03943648;0.032462259;0.022242248;0.018084101;0.042300628;0.022967759;0.020193477;0.023444461;0.049172379;0.024437442;0.017906499;0.019745568;0.039516319;0.018126427;0.018879376;0.031837843;0.053184612;0.024890371;0.021151879;0.015719371;0.039406689;0.022122675;0.018172435;0.015061264;0.035351875;2.74975;-3.02042;-6.57272;5.66521
2S6;Read left;0.012692729;0.020632049;0.025574675;0.059224104;0.012894624;0.019863637;0.029229501;0.062230904;0.012834216;0.019007729;0.03540943;0.066494077;0.014238947;0.021478152;0.022911296;0.056694641;0.014014266;0.020710312;0.025041077;0.054440371;0.012623636;0.019774345;0.033389468;0.062787567;0.013412525;0.020516881;0.027110451;0.057942843;-3.78086;-2.41223;-4.61851;14.5695
2S7;Read left;0.018529785;0.017087512;0.026633657;0.04413971;0.018387271;0.018292796;0.023182185;0.046443325;0.019020623;0.018707053;0.023526786;0.051193309;0.015247291;0.01577851;0.037995442;0.062570198;0.01377416;0.011728218;0.018544535;0.029983221;0.023123922;0.019428087;0.021718507;0.035405685;0.020899752;0.017829911;0.023394861;0.031872606;-0.690335;-4.90443;-5.14591;5.86429
2S8;Read left;0.013893143;0.017876798;0.047956569;0.028698743;0.014705059;0.019106748;0.056425228;0.034524844;0.015308288;0.020632175;0.077971226;0.045810066;0.012133598;0.016156884;0.045831337;0.026400818;0.012382397;0.016158077;0.043653324;0.023994443;0.017313553;0.022512056;0.062088434;0.032240692;0.016005288;0.020012132;0.049856963;0.026923659;-3.01134;-3.49135;1.53519;-0.0250227
2S9;Read left;0.018869252;0.017545955;0.022923794;0.038800323;0.01876565;0.017891168;0.026698279;0.043862825;0.020248899;0.01792026;0.022668784;0.040333636;0.017336854;0.017288325;0.028959914;0.041209182;0.013982769;0.012973478;0.016925473;0.033942587;0.026860654;0.023872037;0.029531364;0.046243568;0.028561046;0.025289021;0.032877267;0.039858483;0.658838;-3.37751;-5.15916;4.89587
2S10;Read left;0.01027544;0.01567181;0.050193223;0.023940048;0.011777737;0.01830392;0.061704436;0.027563973;0.012255031;0.019340388;0.061749203;0.027490449;0.009558366;0.015063244;0.049041983;0.023074312;0.009713369;0.015226577;0.049173777;0.020977403;0.017752607;0.025056621;0.087224265;0.026895314;0.016123974;0.020917404;0.091617046;0.023710531;-4.22394;-3.81141;3.48426;-3.10646
2S11;Read left;0.029697399;0.020551496;0.013212244;0.018046805;0.030907811;0.02339737;0.014702137;0.020305491;0.032282898;0.025821531;0.018605885;0.022106311;0.028300305;0.020546327;0.01700043;0.020487584;0.032008695;0.024352664;0.024363663;0.031666405;0.044208653;0.029474382;0.018372266;0.02329553;0.042959544;0.024604324;0.016163322;0.023799783;8.73565;0.309676;-7.16858;-4.14677
2S12;Read left;0.01349098;0.018775729;0.029820133;0.044305633;0.013161869;0.0199121;0.035493712;0.042065649;0.013904813;0.021739022;0.038298979;0.038060044;0.012151853;0.018274725;0.034096064;0.050839571;0.01176831;0.017897536;0.031047496;0.033597887;0.019223045;0.024865646;0.05219797;0.035447392;0.01984288;0.023106255;0.048906599;0.0335155;-2.84657;-2.19437;-2.35739;4.36026
2S13;Read left;0.023877092;0.02262033;0.034933909;0.025739439;0.028041475;0.026999606;0.051420036;0.031523262;0.030208897;0.029404314;0.05673467;0.033879098;0.023292366;0.022222075;0.036638943;0.028448597;0.022047282;0.023033395;0.054617861;0.039633183;0.02864074;0.026002858;0.042341602;0.028095328;0.025462265;0.024523591;0.034693365;0.027561626;3.75276;0.985115;-0.861436;-0.27495
